MANAGEMENT_TYPE_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR_USE,REGION,SPP_NAME,CLUSTER
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,ALL,CARIBBEAN,WAHOO,2312
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,ALL,CARIBBEAN,ANGELFISH,2313
ACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,ALL,CARIBBEAN,WAHOO,2314
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,ALL,CARIBBEAN,DOLPHIN,2315
ACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,ALL,CARIBBEAN,DOLPHIN,2316
ACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,ALL,ALL,CARIBBEAN,DOLPHIN,2317
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,ALL,CARIBBEAN,DOLPHIN,2318
ACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,DOLPHIN,2319
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,DOLPHIN,2320
ACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,ALL,CARIBBEAN,DOLPHIN,2321
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,ALL,ALL,CARIBBEAN,DOLPHIN,2322
ACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,ALL,ALL,CARIBBEAN,WAHOO,2323
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,ALL,ALL,CARIBBEAN,WAHOO,2324
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,ALL,CARIBBEAN,SURGEONFISH,2325
