MANAGEMENT_TYPE_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR_USE,REGION,SPP_NAME,CLUSTER
ACL,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,HOGFISH,2123
MSST,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,HOGFISH,2124
MSY PROXY,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,HOGFISH,2125
TAC,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"SNAPPER, RED",2126
MULTI-REGION TAC,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,SOUTH ATLANTIC,"MACKEREL, SPANISH",2127
MULTI-REGION TAC,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,MID ATLANTIC,"MACKEREL, SPANISH",2128
MULTI-REGION TAC,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,SOUTH ATLANTIC,"MACKEREL, KING",2129
MULTI-REGION TAC,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,MID ATLANTIC,"MACKEREL, KING",2130
TAC,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,GULF OF MEXICO,"MACKEREL, SPANISH",2131
TAC,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,GULF OF MEXICO,"MACKEREL, KING",2132
QUOTA,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"SHRIMP, ROYAL RED",2133
MULTI-REGION ACL,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,MID ATLANTIC,COBIA,2134
MULTI-REGION ACL,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,SOUTH ATLANTIC,COBIA,2135
MULTI-REGION TAC,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,GULF OF MEXICO,"MACKEREL, SPANISH",2136
MULTI-REGION ACL,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,SOUTH ATLANTIC,"MACKEREL, KING",2137
MULTI-REGION ACL,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,MID ATLANTIC,"MACKEREL, SPANISH",2138
MULTI-REGION ACL,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,MID ATLANTIC,"MACKEREL, KING",2139
