MANAGEMENT_TYPE_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,REGION,SPP_NAME,SECTOR_ID
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,CARIBBEAN,WAHOO,1837
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,CARIBBEAN,ANGELFISH,1838
ACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,CARIBBEAN,WAHOO,1839
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,CARIBBEAN,DOLPHIN,1840
ACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,CARIBBEAN,DOLPHIN,1841
ACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,ALL,CARIBBEAN,DOLPHIN,1842
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CARIBBEAN,DOLPHIN,1843
ACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,CARIBBEAN,DOLPHIN,1844
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,CARIBBEAN,DOLPHIN,1845
ACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CARIBBEAN,DOLPHIN,1846
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,ALL,CARIBBEAN,DOLPHIN,1847
ACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,ALL,CARIBBEAN,WAHOO,1848
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,ALL,CARIBBEAN,WAHOO,1849
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,CARIBBEAN,SURGEONFISH,1850
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,CARIBBEAN,GROUPER 3,1851
IMPORT PROHIBITIONS,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1852
IMPORT PROHIBITIONS,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1853
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CARIBBEAN,WAHOO,1854
ACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CARIBBEAN,ACL/ACT: MACKERELS,1855
ACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CARIBBEAN,TRIPLETAIL,1856
ACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CARIBBEAN,ACL/ACT: TUNAS,1857
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CARIBBEAN,ACL/ACT: MACKERELS,1858
