REGULATION_ID ,LAST_UPDATED,JURISDICTION,ACTION,ACTION_TYPE,AMENDMENT_NUMBER,ACCOUNTABILITY_MEASURE,FR_CITATION,FR_SECTION,FR_URL,MANAGEMENT_CATEGORY,MANAGEMENT_TYPE,SECTOR,SUBSECTOR,REGION,ZONE,JURISDICTIONAL_WATERS,COMMON_NAME,SPECIES_ITIS,FMP,SPECIES_AGGREGATE,SPECIES_GROUP,MANAGEMENT_STATUS,EFFECTIVE_DATE,INEFFECTIVE_DATE,START_DAY,START_MONTH,START_YEAR,START_TIME,START_DAY_OF_WEEK,END_DAY,END_MONTH,END_YEAR,END_TIME,END_DAY_OF_WEEK,VALUE,VALUE_UNITS,VALUE_TYPE,VALUE_RATE,FLAG
45917,4/15/2025,FEDERAL,TEMPORARY RULE,CLOSURE,,NO,89 FR 42815,50 CFR 622,https://www.federalregister.gov/documents/2024/05/16/2024-10768/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,TEMPORAL CONTROLS,CLOSURE,RECREATIONAL,FOR-HIRE,GULF OF MEXICO,ALL,EEZ,"SNAPPER, RED","	=""168853""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,ONCE,8/28/2024,1/1/2025,28,8,2024,12:01:00 AM,,1,1,2025,12:01:00 AM,,,,,,NO
45914,4/10/2025,FEDERAL,TEMPORARY RULE,CLOSURE,37,YES,86 FR 62492,50 CFR 622,https://www.federalregister.gov/documents/2021/11/10/2021-24605/snapper-grouper-fishery-of-the-south-atlantic-2021-commercial-accountability-measure-and-closure-of,CATCH LIMITS,ACL,COMMERCIAL,ALL,SOUTH ATLANTIC,OFF GEORGIA SOUTH CAROLINA AND NORTH CAROLINA,EEZ,,"	=""170566""",SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ACL/ACT: OTHER SNAPPERS COMPLEX,,,11/10/2021,1/1/2022,,,2021,,,,,2022,,,23456,POUNDS,ROUND (WHOLE) WEIGHT,PER FISHING YEAR,NO
45911,4/3/2025,FEDERAL,TEMPORARY RULE,CLOSURE,,YES,89 FR 60578,50 CFR 622,https://www.federalregister.gov/documents/2024/07/26/2024-16476/coastal-migratory-pelagic-resources-of-the-gulf-of-mexico-and-atlantic-region-commercial-closure-for,CATCH LIMITS,QUOTA,COMMERCIAL,ALL,SOUTH ATLANTIC,ATLANTIC MIGRATORY GROUP SPANISH MACKEREL - NORTHERN ZONE,EEZ,"MACKEREL, SPANISH","	=""172436""",COASTAL MIGRATORY PELAGIC RESOURCES,,,,7/28/2024,2/28/2025,,7,2024,,,,2,2025,,,662670,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
45908,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.34,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,TEMPORAL CONTROLS,CLOSURE,RECREATIONAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, BLACK","	=""167760""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,SEASONAL,5/18/2009,5/18/2009,15,2,,,,15,3,,,,,,,,NO
45909,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.34,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,TEMPORAL CONTROLS,CLOSURE,RECREATIONAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, GAG","	=""167759""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,SEASONAL,5/18/2009,5/18/2009,15,2,,,,15,3,,,,,,,,NO
37302,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.4,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,OTHER,STATE RELATED,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,ALL,,REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,5/18/2009,,18,5,2009,,,,,,,,,,,,YES
37303,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.34,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,GEAR REQUIREMENTS,PERMITTED AND AUTHORIZED GEAR,COMMERCIAL,SURFACE TROLLING,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,EEZ,ALL,,REEF FISH RESOURCES OF THE GULF OF MEXICO,,,SEASONAL,5/18/2009,,1,5,,,,31,10,,,,,,,,YES
37437,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.34,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,TEMPORAL CONTROLS,CLOSURE,ALL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,EEZ,ALL,,REEF FISH RESOURCES OF THE GULF OF MEXICO,,,SEASONAL,5/18/2009,,1,11,,,,30,4,,,,,,,,YES
375,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.34,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,TEMPORAL CONTROLS,CLOSURE,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, GAG","	=""167759""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,SEASONAL,5/18/2009,5/18/2009,15,2,,,,15,3,,,,,,,,NO
376,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.34,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,TEMPORAL CONTROLS,CLOSURE,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, BLACK","	=""167760""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,SEASONAL,5/18/2009,5/18/2009,15,2,,,,15,3,,,,,,,,NO
