REGULATION_ID ,LAST_UPDATED,JURISDICTION,ACTION,ACTION_TYPE,AMENDMENT_NUMBER,ACCOUNTABILITY_MEASURE,FR_CITATION,FR_SECTION,FR_URL,MANAGEMENT_CATEGORY,MANAGEMENT_TYPE,SECTOR,SUBSECTOR,REGION,ZONE,JURISDICTIONAL_WATERS,COMMON_NAME,SPECIES_ITIS,FMP,SPECIES_AGGREGATE,SPECIES_GROUP,MANAGEMENT_STATUS,EFFECTIVE_DATE,INEFFECTIVE_DATE,START_DAY,START_MONTH,START_YEAR,START_TIME,START_DAY_OF_WEEK,END_DAY,END_MONTH,END_YEAR,END_TIME,END_DAY_OF_WEEK,VALUE,VALUE_UNITS,VALUE_TYPE,VALUE_RATE,FLAG
1184,10/23/2024,FEDERAL,INTERIM RULE,,,NO,64 FR 71056,50 CFR 622.39,https://www.federalregister.gov/documents/1999/12/20/99-32874/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,EFFORT LIMITS,CREW BAG LIMIT,RECREATIONAL,FOR-HIRE,GULF OF MEXICO,ALL,EEZ,"SNAPPER, RED","	=""168853""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,ONCE,01/19/2000,06/19/2000,19,1,2000,,,19,6,2000,,,4,NUMBERS,COUNT,PER PERSON PER DAY,NO
763,10/23/2024,FEDERAL,INTERIM RULE,,,NO,64 FR 71056,50 CFR 622.34,https://www.federalregister.gov/documents/1999/12/20/99-32874/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,TEMPORAL CONTROLS,CLOSURE,RECREATIONAL,ALL,GULF OF MEXICO,ALL,EEZ,"SNAPPER, RED","	=""168853""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,ONCE,01/01/2000,06/19/2000,1,1,2000,,,21,4,2000,,,,,,,NO
382,10/23/2024,FEDERAL,INTERIM RULE,,,NO,64 FR 71056,50 CFR 622.34,https://www.federalregister.gov/documents/1999/12/20/99-32874/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,TEMPORAL CONTROLS,CLOSURE,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"SNAPPER, RED","	=""168853""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,SEASONAL,01/19/2000,06/19/2000,1,1,,,,1,2,,12:00:00 PM,,,,,,NO
383,10/23/2024,FEDERAL,INTERIM RULE,,,NO,64 FR 71056,50 CFR 622.34,https://www.federalregister.gov/documents/1999/12/20/99-32874/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,TEMPORAL CONTROLS,CLOSURE,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"SNAPPER, RED","	=""168853""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,MONTHLY RECURRING,01/19/2000,06/19/2000,10,2,,12:00:00 PM,,1,1,,12:00:00 PM,,,,,,NO
795,10/23/2024,FEDERAL,INTERIM RULE,,,NO,64 FR 71056,50 CFR 622.37,https://www.federalregister.gov/documents/1999/12/20/99-32874/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,SELECTIVITY CONTROLS,MINIMUM SIZE LIMIT,RECREATIONAL,ALL,GULF OF MEXICO,ALL,EEZ,"SNAPPER, RED","	=""168853""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,ONCE,01/19/2000,06/19/2000,19,1,2000,,,19,6,2000,,,16,INCHES,TOTAL LENGTH,,NO
1118,10/23/2024,FEDERAL,FINAL,AMENDMENT,26,NO,71 FR 67447,50 CFR 622.4,https://www.federalregister.gov/documents/2006/11/22/06-9342/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,OTHER,PERMIT REQUIREMENTS AND ENDORSEMENTS,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"SNAPPER, RED","	=""168853""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,01/01/2007,,1,1,2007,,,,,,,,,,,,YES
1072,10/23/2024,FEDERAL,FINAL,AMENDMENT,26,NO,71 FR 67447,50 CFR 622.2,https://www.federalregister.gov/documents/2006/11/22/06-9342/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,OTHER,DEFINITION,ALL,ALL,GULF OF MEXICO,ALL,EEZ,ALL,,REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,01/01/2007,,1,1,2007,,,,,,,,IFQ,,,,YES
1205,10/23/2024,FEDERAL,FINAL,AMENDMENT,26,NO,71 FR 67447,50 CFR 622.2,https://www.federalregister.gov/documents/2006/11/22/06-9342/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,OTHER,DEFINITION,ALL,ALL,GULF OF MEXICO,ALL,EEZ,ALL,,REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,01/01/2007,,1,1,2007,,,,,,,,ACTUAL EX-VESSEL VALUE,,,,YES
1316,10/23/2024,FEDERAL,FINAL,AMENDMENT,26,NO,71 FR 67447,50 CFR 622.16,https://www.federalregister.gov/documents/2006/11/22/06-9342/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,UNIVERSAL,IFQ PROGRAM ESTABLISHED,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"SNAPPER, RED","	=""168853""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,01/01/2007,,1,1,2007,,,,,,,,,,,,YES
37317,10/23/2024,FEDERAL,FINAL,AMENDMENT,26,NO,71 FR 67447,50 CFR 622.34,https://www.federalregister.gov/documents/2006/11/22/06-9342/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,TEMPORAL CONTROLS,CLOSURE,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"SNAPPER, RED","	=""168853""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,SEASONAL,01/01/2007,01/01/2007,1,1,,,,1,2,,12:00:00 PM,,,,,,YES
37318,10/23/2024,FEDERAL,FINAL,AMENDMENT,26,NO,71 FR 67447,50 CFR 622.34,https://www.federalregister.gov/documents/2006/11/22/06-9342/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,TEMPORAL CONTROLS,CLOSURE,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"SNAPPER, RED","	=""168853""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,MONTHLY RECURRING,01/01/2007,01/01/2007,10,2,,12:00:00 PM,,1,1,,12:00:00 PM,,,,,,YES
837,10/23/2024,FEDERAL,FINAL,REGULATORY AMENDMENT,,NO,62 FR 46677,50 CFR 622.42,https://www.federalregister.gov/documents/1997/09/04/97-23339/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,QUOTA,RECREATIONAL,ALL,GULF OF MEXICO,ALL,EEZ,"SNAPPER, RED","	=""168853""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,10/06/1997,,,,1997,,,,,,,,4470000,POUNDS,ROUND (WHOLE) WEIGHT,PER FISHING YEAR,NO
569,10/23/2024,FEDERAL,FINAL,REGULATORY AMENDMENT,,NO,62 FR 46677,50 CFR 622,https://www.federalregister.gov/documents/1997/09/04/97-23339/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,TEMPORAL CONTROLS,REOPENING,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"SNAPPER, RED","	=""168853""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,09/02/1997,,2,9,1997,12:00:00 PM,,15,9,1997,12:00:00 PM,,,,,,NO
381,10/23/2024,FEDERAL,FINAL,REGULATORY AMENDMENT,,NO,62 FR 46677,50 CFR 622.34,https://www.federalregister.gov/documents/1997/09/04/97-23339/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,TEMPORAL CONTROLS,CLOSURE,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"SNAPPER, RED","	=""168853""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,MONTHLY RECURRING,09/15/1997,,15,9,,12:00:00 PM,,1,1,,12:00:00 PM,,,,,,NO
1384,10/23/2024,FEDERAL,FINAL,,,NO,65 FR 50158,50 CFR 622.42,https://www.federalregister.gov/documents/2000/08/17/00-20994/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,QUOTA AVAILABLE,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"SNAPPER, RED","	=""168853""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,09/18/2000,,1,2,,12:00:00 PM,,,,,,,3100000,POUNDS,ROUND (WHOLE) WEIGHT,PER FISHING SEASON,NO
797,10/23/2024,FEDERAL,FINAL,,,NO,65 FR 50158,50 CFR 622.37,https://www.federalregister.gov/documents/2000/08/17/00-20994/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,SELECTIVITY CONTROLS,MINIMUM SIZE LIMIT,RECREATIONAL,ALL,GULF OF MEXICO,ALL,EEZ,"SNAPPER, RED","	=""168853""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,09/18/2000,,18,9,2000,,,,,,,,16,INCHES,TOTAL LENGTH,,NO
