REGULATION_ID ,REPORT_A_DATA_BUG,LAST_UPDATED,JURISDICTION,ACTION,ACTION_TYPE,AMENDMENT_NUMBER,ACCOUNTABILITY_MEASURE,FR_CITATION,FR_SECTION,FR_URL,MANAGEMENT_CATEGORY,MANAGEMENT_TYPE,SECTOR,SUBSECTOR,REGION,ZONE,JURISDICTIONAL_WATERS,COMMON_NAME,SPECIES_ITIS,FMP,SPECIES_AGGREGATE,SPECIES_GROUP,MANAGEMENT_STATUS,EFFECTIVE_DATE,INEFFECTIVE_DATE,START_DAY,START_MONTH,START_YEAR,START_TIME,START_DAY_OF_WEEK,END_DAY,END_MONTH,END_YEAR,END_TIME,END_DAY_OF_WEEK,VALUE,VALUE_UNITS,VALUE_TYPE,VALUE_RATE,FLAG
539,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",09/19/2022,FEDERAL,FINAL,AMENDMENT,18,NO,76 FR 82058,50 CFR 622.42,https://www.federalregister.gov/documents/2011/12/29/2011-33187/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-coastal-migratory-pelagic-resources-in,CATCH LIMITS,QUOTA,COMMERCIAL,RUN-AROUND GILLNET,GULF OF MEXICO,GULF MIGRATORY GROUP KING MACKEREL - EASTERN ZONE - FLORIDA WEST COAST SOUTHERN SUBZONE,EEZ,"MACKEREL, KING","	=""172435""",COASTAL MIGRATORY PELAGIC RESOURCES,,,,01/30/2012,,,,2012,,,,,,,,607614,POUNDS,ROUND (WHOLE) WEIGHT,PER FISHING YEAR,NO
541,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",09/19/2022,FEDERAL,FINAL,AMENDMENT,18,NO,76 FR 82058,50 CFR 622.42,https://www.federalregister.gov/documents/2011/12/29/2011-33187/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-coastal-migratory-pelagic-resources-in,CATCH LIMITS,QUOTA,COMMERCIAL,HOOK AND LINE,GULF OF MEXICO,GULF MIGRATORY GROUP KING MACKEREL - EASTERN ZONE - FLORIDA WEST COAST SOUTHERN SUBZONE,EEZ,"MACKEREL, KING","	=""172435""",COASTAL MIGRATORY PELAGIC RESOURCES,,,,01/30/2012,,,,2012,,,,,,,,607614,POUNDS,ROUND (WHOLE) WEIGHT,PER FISHING YEAR,NO
479,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/24/2022,FEDERAL,FINAL,REGULATORY AMENDMENT,,NO,76 FR 67618,50 CFR 622.42,https://www.federalregister.gov/documents/2011/11/02/2011-28409/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,QUOTA,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, RED","	=""167702""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,11/02/2011,,,,2013,,,,,,,,5530000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
480,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/24/2022,FEDERAL,FINAL,REGULATORY AMENDMENT,,NO,76 FR 67618,50 CFR 622.42,https://www.federalregister.gov/documents/2011/11/02/2011-28409/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,QUOTA,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, RED","	=""167702""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,11/02/2011,,,,2014,,,,,,,,5630000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
481,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/24/2022,FEDERAL,FINAL,REGULATORY AMENDMENT,,NO,76 FR 67618,50 CFR 622.42,https://www.federalregister.gov/documents/2011/11/02/2011-28409/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,QUOTA,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, RED","	=""167702""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,11/02/2011,,,,2015,,,,,,,,5720000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
482,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/24/2022,FEDERAL,FINAL,REGULATORY AMENDMENT,,NO,76 FR 67618,50 CFR 622.42,https://www.federalregister.gov/documents/2011/11/02/2011-28409/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,QUOTA,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,,,REEF FISH RESOURCES OF THE GULF OF MEXICO,"QUOTA: SHALLOW-WATER GROUPERS (SWG), COMBINED",,,11/02/2011,,,,2011,,,,,,,,6070000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
483,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/24/2022,FEDERAL,FINAL,REGULATORY AMENDMENT,,NO,76 FR 67618,50 CFR 622.42,https://www.federalregister.gov/documents/2011/11/02/2011-28409/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,QUOTA,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,,,REEF FISH RESOURCES OF THE GULF OF MEXICO,"QUOTA: SHALLOW-WATER GROUPERS (SWG), COMBINED",,,11/02/2011,,,,2012,,,,,,,,6210000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
484,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/24/2022,FEDERAL,FINAL,REGULATORY AMENDMENT,,NO,76 FR 67618,50 CFR 622.42,https://www.federalregister.gov/documents/2011/11/02/2011-28409/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,QUOTA,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,,,REEF FISH RESOURCES OF THE GULF OF MEXICO,"QUOTA: SHALLOW-WATER GROUPERS (SWG), COMBINED",,,11/02/2011,,,,2013,,,,,,,,6370000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
485,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/24/2022,FEDERAL,FINAL,REGULATORY AMENDMENT,,NO,76 FR 67618,50 CFR 622.42,https://www.federalregister.gov/documents/2011/11/02/2011-28409/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,QUOTA,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,,,REEF FISH RESOURCES OF THE GULF OF MEXICO,"QUOTA: SHALLOW-WATER GROUPERS (SWG), COMBINED",,,11/02/2011,,,,2014,,,,,,,,6470000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
478,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/24/2022,FEDERAL,FINAL,REGULATORY AMENDMENT,,NO,76 FR 67618,50 CFR 622.42,https://www.federalregister.gov/documents/2011/11/02/2011-28409/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,QUOTA,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, RED","	=""167702""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,11/02/2011,,,,2012,,,,,,,,5370000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
