REGULATION_ID ,REPORT_A_DATA_BUG,LAST_UPDATED,JURISDICTION,ACTION,ACTION_TYPE,AMENDMENT_NUMBER,ACCOUNTABILITY_MEASURE,FR_CITATION,FR_SECTION,FR_URL,MANAGEMENT_CATEGORY,MANAGEMENT_TYPE,SECTOR,SUBSECTOR,REGION,ZONE,JURISDICTIONAL_WATERS,COMMON_NAME,SPECIES_ITIS,FMP,SPECIES_AGGREGATE,SPECIES_GROUP,MANAGEMENT_STATUS,EFFECTIVE_DATE,INEFFECTIVE_DATE,START_DAY,START_MONTH,START_YEAR,START_TIME,START_DAY_OF_WEEK,END_DAY,END_MONTH,END_YEAR,END_TIME,END_DAY_OF_WEEK,VALUE,VALUE_UNITS,VALUE_TYPE,VALUE_RATE,FLAG
4597,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/30/2022,FEDERAL,FINAL,ORIGINAL FMP,,NO,46 FR 27489,50 CFR 658.21,https://www.loc.gov/item/fr046097/,CATCH LIMITS,QUOTA,ALL,ALL,GULF OF MEXICO,ALL,EEZ,"SHRIMP, ROYAL RED","	=""095966""",SHRIMP FISHERY OF THE GULF OF MEXICO,,,,05/15/1981,,,,1981,,,,,,,,111.6,METRIC TONS,ROUND (WHOLE) WEIGHT,PER FISHING YEAR,NO
4612,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/30/2022,FEDERAL,FINAL,ORIGINAL FMP,,NO,46 FR 27489,50 CFR 658.2,https://www.loc.gov/item/fr046097/,OTHER,DEFINITION,ALL,ALL,GULF OF MEXICO,ALL,EEZ,ALL,,SHRIMP FISHERY OF THE GULF OF MEXICO,,,,05/15/1981,,15,5,1981,,,,,,,,ACT,,,,YES
4601,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/30/2022,FEDERAL,FINAL,ORIGINAL FMP,,NO,46 FR 27489,50 CFR 658.22,https://www.loc.gov/item/fr046097/,TEMPORAL CONTROLS,CLOSURE,ALL,TRAWL,GULF OF MEXICO,TORTUGAS SHRIMP SANCTUARY,EEZ,ALL,,SHRIMP FISHERY OF THE GULF OF MEXICO,,,,05/15/1981,,15,5,1981,,,,,,,,,,,,NO
4593,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/30/2022,FEDERAL,FINAL,ORIGINAL FMP,,NO,46 FR 27489,50 CFR 658.2,https://www.loc.gov/item/fr046097/,OTHER,DEFINITION,ALL,ALL,GULF OF MEXICO,ALL,EEZ,ALL,,SHRIMP FISHERY OF THE GULF OF MEXICO,,,,05/15/1981,,15,5,1981,,,,,,,,UNITED STATES HARVESTED SHRIMP,,,,YES
4595,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/30/2022,FEDERAL,FINAL,ORIGINAL FMP,,NO,46 FR 27489,50 CFR 658.2,https://www.loc.gov/item/fr046097/,OTHER,DEFINITION,ALL,ALL,GULF OF MEXICO,ALL,EEZ,ALL,,SHRIMP FISHERY OF THE GULF OF MEXICO,,,,05/15/1981,,15,5,1981,,,,,,,,REGIONAL DIRECTOR,,,,YES
4600,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/30/2022,FEDERAL,FINAL,ORIGINAL FMP,,NO,46 FR 27489,50 CFR 658.2,https://www.loc.gov/item/fr046097/,OTHER,DEFINITION,ALL,ALL,GULF OF MEXICO,ALL,EEZ,ALL,,SHRIMP FISHERY OF THE GULF OF MEXICO,,,,05/15/1981,,15,5,1981,,,,,,,,VESSEL OF THE UNITED STATES,,,,YES
4606,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/30/2022,FEDERAL,FINAL,ORIGINAL FMP,,NO,46 FR 27489,50 CFR 658.20,https://www.loc.gov/item/fr046097/,UNIVERSAL,FISHING YEAR,ALL,ALL,GULF OF MEXICO,ALL,EEZ,"SHRIMP, ROYAL RED","	=""095966""",SHRIMP FISHERY OF THE GULF OF MEXICO,,,,05/15/1981,,1,1,,,,31,12,,,,,,,,NO
4592,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/30/2022,FEDERAL,FINAL,ORIGINAL FMP,,NO,46 FR 27489,50 CFR 658.24,https://www.loc.gov/item/fr046097/,UNIVERSAL,ALLOWABLE SPECIES,ALL,TRAWL,GULF OF MEXICO,TEXAS CLOSURE SHRIMP FISHERY MANAGEMENT AREA -  BEYOND THE 100-FATHOM DEPTH CONTOUR,EEZ,"SHRIMP, ROYAL RED","	=""095966""",SHRIMP FISHERY OF THE GULF OF MEXICO,,,SEASONAL,05/15/1981,,1,6,,,,15,7,,,,,,,,NO
4603,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/30/2022,FEDERAL,FINAL,ORIGINAL FMP,,NO,46 FR 27489,50 CFR 658.24,https://www.loc.gov/item/fr046097/,TEMPORAL CONTROLS,CLOSURE,ALL,TRAWL,GULF OF MEXICO,TEXAS CLOSURE SHRIMP FISHERY MANAGEMENT AREA,EEZ,ALL,,SHRIMP FISHERY OF THE GULF OF MEXICO,,,SEASONAL,05/15/1981,,1,6,,,,15,7,,,,,,,,NO
4602,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/30/2022,FEDERAL,FINAL,ORIGINAL FMP,,NO,46 FR 27489,50 CFR 658.23,https://www.loc.gov/item/fr046097/,TEMPORAL CONTROLS,CLOSURE,ALL,TRAWL,GULF OF MEXICO,SHRIMP/STONE CRAB SEPARATION ZONES,EEZ,ALL,,SHRIMP FISHERY OF THE GULF OF MEXICO,,,SEASONAL,05/15/1981,,1,1,,,,20,5,,,,,,,,NO
4607,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/30/2022,FEDERAL,FINAL,ORIGINAL FMP,,NO,46 FR 27489,50 CFR 658.20,https://www.loc.gov/item/fr046097/,UNIVERSAL,FISHING YEAR,ALL,ALL,GULF OF MEXICO,ALL,EEZ,ALL,,SHRIMP FISHERY OF THE GULF OF MEXICO,,,,05/15/1981,,1,5,,,,30,4,,,,,,,,NO
4613,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/30/2022,FEDERAL,FINAL,ORIGINAL FMP,,NO,46 FR 27489,50 CFR 658.2,https://www.loc.gov/item/fr046097/,OTHER,DEFINITION,ALL,ALL,GULF OF MEXICO,ALL,EEZ,ALL,,SHRIMP FISHERY OF THE GULF OF MEXICO,,,,05/15/1981,,15,5,1981,,,,,,,,FISHERY MANAGEMENT PLAN,,,,YES
4611,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/30/2022,FEDERAL,FINAL,ORIGINAL FMP,,NO,46 FR 27489,50 CFR 658.2,https://www.loc.gov/item/fr046097/,OTHER,DEFINITION,ALL,ALL,GULF OF MEXICO,ALL,EEZ,ALL,,SHRIMP FISHERY OF THE GULF OF MEXICO,,,,05/15/1981,,15,5,1981,,,,,,,,PERSON,,,,YES
4610,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/30/2022,FEDERAL,FINAL,ORIGINAL FMP,,NO,46 FR 27489,50 CFR 658.2,https://www.loc.gov/item/fr046097/,OTHER,DEFINITION,ALL,ALL,GULF OF MEXICO,ALL,EEZ,ALL,,SHRIMP FISHERY OF THE GULF OF MEXICO,,,,05/15/1981,,15,5,1981,,,,,,,,OWNER,,,,YES
4609,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/30/2022,FEDERAL,FINAL,ORIGINAL FMP,,NO,46 FR 27489,50 CFR 658.2,https://www.loc.gov/item/fr046097/,OTHER,DEFINITION,ALL,ALL,GULF OF MEXICO,ALL,EEZ,ALL,,SHRIMP FISHERY OF THE GULF OF MEXICO,,,,05/15/1981,,15,5,1981,,,,,,,,FISHING,,,,YES
4608,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/30/2022,FEDERAL,FINAL,ORIGINAL FMP,,NO,46 FR 27489,50 CFR 658.8,https://www.loc.gov/item/fr046097/,OTHER,ENFORCEMENT RELATED,ALL,ALL,GULF OF MEXICO,ALL,EEZ,ALL,,SHRIMP FISHERY OF THE GULF OF MEXICO,,,,05/15/1981,,15,5,1981,,,,,,,,,,,,YES
4605,"<i class=""fa fa-bug"" aria-hidden=""true""></i>",06/30/2022,FEDERAL,FINAL,ORIGINAL FMP,,NO,46 FR 27489,50 CFR 658.2,https://www.loc.gov/item/fr046097/,OTHER,DEFINITION,ALL,ALL,GULF OF MEXICO,ALL,EEZ,ALL,,SHRIMP FISHERY OF THE GULF OF MEXICO,,,,05/15/1981,,15,5,1981,,,,,,,,FISHING VESSEL,,,,YES
