ZONE_USE,ZONE_CLASS
GULF MIGRATORY GROUP COBIA - GULF ZONE,SPECIFIC
GULF MIGRATORY GROUP COBIA - FLORIDA EAST COAST ZONE,SPECIFIC
ATLANTIC MIGRATORY GROUP KING MACKEREL - NORTHERN ZONE,SPECIFIC
ATLANTIC MIGRATORY GROUP KING MACKEREL - SOUTHERN ZONE,SPECIFIC
GULF MIGRATORY GROUP SPANISH MACKEREL - WESTERN ZONE,SPECIFIC
GULF MIGRATORY GROUP SPANISH MACKEREL - EASTERN ZONE,SPECIFIC
GULF MIGRATORY GROUP SPANISH MACKEREL - CENTRAL ZONE,SPECIFIC
ATLANTIC MIGRATORY GROUP SPANISH MACKEREL - SOUTHERN ZONE,SPECIFIC
ATLANTIC MIGRATORY GROUP SPANISH MACKEREL - NORTHERN ZONE,SPECIFIC
GULF MIGRATORY GROUP KING MACKEREL - EASTERN ZONE,SPECIFIC
GULF MIGRATORY GROUP KING MACKEREL - WESTERN ZONE,SPECIFIC
GULF MIGRATORY GROUP KING MACKEREL - CENTRAL ZONE,SPECIFIC
GULF MIGRATORY GROUP KING MACKEREL - NORTHERN ZONE,SPECIFIC
GULF MIGRATORY GROUP KING MACKEREL - EASTERN ZONE - FLORIDA WEST COAST NORTHERN SUBZONE,SPECIFIC
GULF MIGRATORY GROUP KING MACKEREL - EASTERN ZONE - FLORIDA WEST COAST SOUTHERN SUBZONE,SPECIFIC
GULF MIGRATORY GROUP KING MACKEREL - SOUTHERN ZONE,SPECIFIC
"ATLANTIC MIGRATORY GROUP SPANISH MACKEREL - SOUTH OF 30Â°42'45.6"" N. LAT.",SPECIFIC
GULF MIGRATORY GROUP KING MACKEREL - EASTERN ZONE - FLORIDA EAST COAST SUBZONE,SPECIFIC
GULF MIGRATORY GROUP KING MACKEREL - EASTERN ZONE - FLORIDA WEST COAST SUBZONE,SPECIFIC
SPAWNING SMZS - AREA 51,SPECIFIC
SPAWNING SMZS - AREA 53,SPECIFIC
SPAWNING SMZS - SOUTH OF CAPE LOOKOUT NORTH CAROLINA,SPECIFIC
SPAWNING SMZS - WARSAW HOLE,SPECIFIC
SPAWNING SMZS - DEVIL'S HOLE/GEORGETOWN HOLE,SPECIFIC
SNAPPER-GROUPER CLOSED AREA,SPECIFIC
MPA - (I) THROUGH (VIII),SPECIFIC
HAPC - OCULINA BANK EXPERIMENTAL CLOSED AREA,SPECIFIC
HAPC - OCULINA BANK,SPECIFIC
MADISON-SWANSON SITES AND STEAMBOAT LUMPS,SPECIFIC
AREA CLOSURE RELATED TO DEEPWATER HORIZON OIL SPILL,SPECIFIC
THE EDGES,SPECIFIC
HAPC - TORTUGAS MARINE RESERVES,SPECIFIC
RILEY'S HUMP,SPECIFIC
SWG RECREATIONAL FISHERY MANAGEMENT AREA,SPECIFIC
SOUTH OF 35Â°15.9' NORTH LATITUDE (CAPE HATTERAS LIGHT NORTH CAROLINA),SPECIFIC
OFF FLORIDA,SPECIFIC
OFF GEORGIA SOUTH CAROLINA AND NORTH CAROLINA,SPECIFIC
OFF ALABAMA,SPECIFIC
OFF MISSISSIPPI,SPECIFIC
OFF LOUISIANA,SPECIFIC
OFF TEXAS,SPECIFIC
SMZ - (A)(22),SPECIFIC
